,,,National Stock Exchange Of India Limited,,,,,,,,,,,,,,,,,,,,
,,,Negotiated Trade Reporting Platform,,,,,,,,,,,,,,,,,,,,
Details report for :- 12-Jan-2018,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Sectype,Security,Issue Name,Issue Desc,Issuer,Face Value,Credit Rating,Issue Date,Maturity Date,Record Date,Step up Coupons,Coupon Frequency,Next Coupon Date,Day Count Convention,Floating Benchmark,Spread over the Benchmark,Last Trade Date,Last trade price,Last Trade Value (Rs.in Lakhs),Last Trade Yield,Weighted Average Price,Weighted Average Yield,Traded Value (Rs. In Crores),ISIN
BB,ALBK19,8.45%,ALBK 8.45% 2019 (S-IX),ALLAHABAD BANK,100.00,,04-Aug-2009,04-Aug-2019,,,Yearly,04-Aug-2018,ACTUALby365,,,,0.0000,,,,,,INE428A09109
BB,ALBK19,9.23%,ALLAH BK 9.23% 2019 (S-VIII),ALLAHABAD BANK,100.00,,26-Mar-2009,26-Mar-2019,,,Yearly,26-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE428A09083
BB,ALBK24,RESET,ALLAH BK RESET 2024(S-I),ALLAHABAD BANK,100.00,,19-Mar-2009,19-Mar-2024,,,Yearly,19-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE428A09075
BB,ALBK24A,RESET,ALLAB BK RST2024(S-II),ALLAHABAD BANK,100.00,,18-Dec-2009,18-Dec-2024,,,Yearly,18-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE428A09117
BB,ALBK25,8.64%,ALLAHABAD BANK 8.64% 2025SR-II,ALLAHABAD BANK,100.00,,21-Dec-2015,20-Dec-2025,,,Yearly,21-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE428A08044
BB,ALBK25,8.78%,ALLAHABAD BK 8.78% 25S-I,ALLAHABAD BANK,100.00,,20-Jan-2015,20-Jan-2025,,,Yearly,20-Jan-2018,ACTUALby365,,,,0.0000,,,,,,INE428A08028
BB,ALBK27,8.15%,ALLAHABAD BANK 8.15% 2027 SR-3,ALLAHABAD BANK,100.00,,25-Jan-2017,25-Jan-2027,,,Yearly,25-Jan-2018,ACTUALby365,,,,0.0000,,,,,,INE428A08051
BB,ANBK18,11%,"ANDRA BK 11%2018 (I-VIII,S-G)",ANDHRA BANK,100.00,,10-Sep-2008,10-Sep-2018,,,Yearly,10-Sep-2018,ACTUALby365,,,,0.0000,,,,,,INE434A09081
BB,ANBK18,9.15%,ANDHRA BANK 9.15% 2018(S-F),ANDHRA BANK,100.00,,11-Jan-2008,11-May-2018,,,Yearly,11-May-2018,ACTUALby365,,,19-Jun-2009,103.2398,,,,,,INE434A09073
BB,ANBK19,8.55%,ANDHRA BNK 8.55% (ISS-VIIIS-H),ANDHRA BANK,100.00,,24-Dec-2009,24-Dec-2019,,,Yearly,24-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE434A09131
BB,ANBK21,9.35%,ANDHRA BANK 9.35% 2021,ANDHRA BANK,100.00,,22-Aug-2014,22-Aug-2021,,,Yearly,22-Aug-2018,ACTUALby365,,,,0.0000,,,,,,INE434A08018
BB,ANBK24,RESET,ANDHRA BANK RESET 2024(S-A),ANDHRA BANK,100.00,,25-Mar-2009,25-Mar-2024,,,Yearly,25-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE434A09107
BB,ANBK24A,RESET,ANDBK RESET 2024 (ISS-II S-B),ANDHRA BANK,100.00,,08-Jun-2009,08-Jun-2024,,,Yearly,08-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE434A09115
BB,ANBK24B,RESET,ANDHRA BANK RST 2024 (I-IIIS-C,ANDHRA BANK,100.00,,18-Dec-2009,18-Dec-2024,,,Yearly,18-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE434A09123
BB,ANBK25,8.58%,ANDHRA BK 8.58% 25 T2 BASEL 2A,ANDHRA BANK,100.00,,16-Sep-2015,16-Sep-2025,,,Yearly,16-Sep-2018,ACTUALby365,,,,0.0000,,,,,,INE434A08026
BB,ANBK25,8.63%,ANDHRA BK 8.63%25-TII BIIISB,ANDHRA BANK,100.00,,18-Dec-2015,18-Dec-2025,,,Yearly,18-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE434A08034
BB,ANBK26,8.65%,ANDHRA BANK 08.65% 26 T-2SC,ANDHRA BANK,100.00,,27-Jun-2016,27-Jun-2026,,,Yearly,27-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE434A08059
BB,ANBK27,7.98%,ANDHRA BANK 7.98% 2027 Sr D,ANDHRA BANK,100.00,,24-Oct-2017,24-Oct-2027,,,Yearly,24-Oct-2018,ACTUALby365,,,,0.0000,,,,,,INE434A08075
BB,AXBK18,11.75%,AXIS BANK 11.75% 2018 (S-16),UTI BANK LIMITED,100.00,,07-Nov-2008,07-Nov-2018,,,Yearly,07-Nov-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08294
BB,AXBK19,9.15%,AXIS BANK 9.15% 2019 (S-18),UTI BANK LIMITED,100.00,,16-Jun-2009,16-Jun-2019,,,Yearly,16-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08310
BB,AXBK19,9.95%,AXIS BANK  9.95% 2019 (S-17),UTI BANK LIMITED,100.00,,28-Mar-2009,28-Mar-2019,,,Yearly,28-Mar-2018,ACTUALby365,,,26-Aug-2009,105.1448,,,,,,INE238A08302
BB,AXBK21,9.73%,AXIS BANK 9.73% 21 (S-19),UTI BANK LIMITED,100.00,,01-Dec-2011,01-Dec-2021,,,Yearly,01-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08328
BB,AXBK22,9.15%,AXIS BANK  9.15% 22 (S-21),UTI BANK LIMITED,100.00,,31-Dec-2012,31-Dec-2022,,,Yearly,31-Dec-2018,ACTUALby365,,,08-Aug-2016,104.7227,1000.00,8.1500,,,,INE238A08344
BB,AXBK22,9.30%,AXIS BANK 9.30% 2022(S-20),UTI BANK LIMITED,100.00,,20-Mar-2012,20-Mar-2022,,,Yearly,20-Mar-2018,ACTUALby365,,,15-Apr-2013,102.7301,,,,,,INE238A08336
BB,AXBK23,7.60%,AXIS BANK 7.60% 2023 SR-3,UTI BANK LIMITED,100.00,,20-Oct-2016,20-Oct-2023,,,Yearly,20-Oct-2018,ACTUALby365,,,08-Jan-2018,98.8072,5000.00,7.8500,,,,INE238A08401
BB,AXBK24,8.85%,AXIS BK 8.85% 24 (Sr-1),UTI BANK LIMITED,100.00,,05-Dec-2014,05-Dec-2024,,,Yearly,05-Dec-2018,ACTUALby365,,,13-Nov-2017,106.1469,1000.00,7.6800,,,,INE238A08351
BB,AXBK25,8.25%,AXIS BANK 8.25% 2025(S-2),UTI BANK LIMITED,100.00,,30-Oct-2015,30-Oct-2025,,,Yearly,30-Oct-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08385
BB,AXBK25,8.45%,AXIS BANK 8.45% 25(S-22),UTI BANK LIMITED,100.00,,12-Feb-2015,12-Feb-2025,,,Yearly,12-Feb-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08369
BB,AXBK25A,8.50%,AXIS BK 8.50% 2025S23SUBDEBT,UTI BANK LIMITED,100.00,,30-Sep-2015,30-Sep-2025,,,Yearly,30-Sep-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08377
BB,AXBK26,7.84%,AXIS BANK 7.84% 2026 SR25,UTI BANK LIMITED,100.00,,23-Nov-2016,23-Nov-2026,,,Yearly,23-Nov-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08419
BB,AXBK26,8.50%,AXIS BANK 8.50% 2026 SR-24,UTI BANK LIMITED,100.00,,27-May-2016,27-May-2026,,,Yearly,27-May-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08393
BB,AXBK27,7.66%,Axis Bank 7.66% 2027 (Sr-27),UTI BANK LIMITED,100.00,,15-Jun-2017,15-Jun-2027,,,Yearly,15-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE238A08435
BB,BOB18,8.95%,BOB 8.95% 2018 (S-X),BANK OF BARODA,100.00,,12-Mar-2009,12-Apr-2018,,,Yearly,12-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09107
BB,BOB22,RESET,BOB RESET 2022 (S VII),BANK OF BARODA,100.00,,28-Dec-2007,28-Dec-2022,,,Yearly,01-Apr-2018,ACTUALby365,,,18-Nov-2010,102.7348,,,,,,INE028A09065
BB,BOB23,9.73%,BANK OF BARODA9.73% 23 SR-XVII,BANK OF BARODA,100.00,,17-Dec-2013,17-Dec-2023,,,Yearly,17-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE028A08059
BB,BOB23,9.80%,BANK OF BARODA 9.80% 23S-XVI,BANK OF BARODA,100.00,,01-Nov-2013,01-Nov-2023,,,Yearly,01-Nov-2018,ACTUALby365,,,,0.0000,,,,,,INE028A08042
BB,BOB24,8.54%,BOB 8.54% 2024  (S-XII),BANK OF BARODA,100.00,,08-Jul-2009,08-Jul-2024,,,Yearly,08-Jul-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09123
BB,BOB24,RESET,BOB RESET 2024 (S-IX),BANK OF BARODA,100.00,,04-Mar-2009,04-Mar-2024,,,Yearly,04-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09099
BB,BOB24A,RESET,BOB RESET 2024 (S-XI),BANK OF BARODA,100.00,,08-Jun-2009,08-Jun-2024,,,Yearly,08-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09115
BB,BOB25,RESET,BOB RESET 2025 (S-XIII),BANK OF BARODA,100.00,,31-May-2010,31-May-2025,,,Yearly,31-May-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09156
BB,BOB25A,RESET,BOB RST 2025 (S-XIV),BANK OF BARODA,100.00,,30-Jun-2010,30-Jun-2025,,,Yearly,30-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09164
BB,BOB25B,RESET,BOB BNK RST 2025 (S-XV),BANK OF BARODA,100.00,,10-Aug-2010,10-Aug-2025,,,Yearly,10-Aug-2018,ACTUALby365,,,,0.0000,,,,,,INE028A09172
BB,BOI21,RESET,BOI RESET 2021 (S-I),BANK OF INDIA,100.00,,31-Jul-2006,31-Jul-2021,,,Yearly,01-Apr-2018,ACTUALby365,,,15-Dec-2011,100.2389,,,,,,INE084A09118
BB,BOI23,9.80%,BNK OF IND II BD 9.80%23 SR-X,BANK OF INDIA,100.00,,25-Sep-2013,25-Sep-2023,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A08037
BB,BOI23,RESET,BANK OF INDIA RST 2023(S-II),BANK OF INDIA,100.00,,16-Oct-2008,16-Oct-2023,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A09159
BB,BOI23A,9.80%,BOI TR II  BD 9.80% 2023 SR-XI,BANK OF INDIA,100.00,,30-Sep-2013,30-Sep-2023,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A08045
BB,BOI24,RESET,BANK OF INDIA RST 2024(S-III),BANK OF INDIA,100.00,,28-Jul-2009,28-Jul-2024,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A09175
BB,BOI24A,RESET,BOI RESET 2024 (S-IV),BANK OF INDIA,100.00,,28-Aug-2009,28-Aug-2024,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A09183
BB,BOI25,8.52%,BANK OF INDIA 8.52% 2025 XII,BANK OF INDIA,100.00,,31-Dec-2015,31-Dec-2025,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A08060
BB,BOI25,RESET,BANK OF IND RST2025(S-V),BANK OF INDIA,100.00,,20-Jan-2010,20-Jan-2025,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A09209
BB,BOI25A,RESET,BOI RST 2025  VI,BANK OF INDIA,100.00,,11-Jun-2010,11-Jun-2025,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A09217
BB,BOI26,8.57%,BOI 8.57% 26 BASEL III T2 XIII,BANK OF INDIA,100.00,,07-Jul-2016,07-Jul-2026,,,Yearly,03-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A08094
BB,BOI27,8.00%,BANK OF INDIA 8.00% T2 SR XIV,BANK OF INDIA,100.00,,27-Mar-2017,27-Mar-2027,,,Yearly,01-Apr-2018,ACTUALby365,,,,0.0000,,,,,,INE084A08110
BB,BOM18,9.20%,BANK OF MAH9.20% 2018 (S-VIII),BANK OF MAHARASHTRA,100.00,,15-Jan-2008,15-Apr-2018,,,Yearly,15-Jan-2018,ACTUALby365,,,16-Jun-2008,100.0000,,,,,,INE457A09132
BB,BOM21,9.40%,BANK OF MAHARASHTRA 9.40% 2021,BANK OF MAHARASHTRA,100.00,,20-Oct-2014,20-Oct-2021,,,Yearly,20-Oct-2018,ACTUALby365,,,,0.0000,,,,,,INE457A09207
BB,BOM21,RESET,BK. OF MAH RESET 2021,BANK OF MAHARASHTRA,100.00,,14-Oct-2006,14-Oct-2021,,,Yearly,14-Oct-2018,ACTUALby365,,,,0.0000,,,,,,INE457A09082
BB,BOM22,RESET,BANK OF MAH. RESET 2022 (S-II),BANK OF MAHARASHTRA,100.00,,21-Mar-2007,21-Mar-2022,,,Yearly,21-Mar-2018,ACTUALby365,,,08-Jan-2008,103.8055,,,,,,INE457A09090
BB,BOM22A,RESET,BANK OF MAH. RESET 2022 (S-III,BANK OF MAHARASHTRA,100.00,,30-Mar-2007,30-Mar-2022,,,Yearly,30-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE457A09108
BB,BOM22B,RESET,BNKOF MAH RESET2022 (SERIES IV,BANK OF MAHARASHTRA,100.00,,19-Jul-2007,19-Jul-2022,,,Yearly,19-Jul-2018,ACTUALby365,,,,0.0000,,,,,,INE457A09116
BB,BOM26,9.20%,BANK OF MAHA 9.20%26 B-IIIS-I,BANK OF MAHARASHTRA,100.00,,27-Jun-2016,27-Sep-2026,,,Yearly,27-Jun-2018,ACTUALby365,,,,0.0000,,,,,,INE457A08035
BB,CANB19,8.08%,CAN BK 8.08% 19(S-XII),CANARA BANK,100.00,,16-Jan-2009,16-Jan-2019,,,Yearly,16-Jan-2018,ACTUALby365,,,,0.0000,,,,,,INE476A09199
BB,CANB21,RESET,CANARA BANK RESET 2021(S-I),CANARA BANK,100.00,,16-Sep-2006,16-Sep-2021,,,Yearly,16-Sep-2018,ACTUALby365,,,,0.0000,,,,,,INE476A09157
BB,CANB22,RESET,CANARA BANK RESET 2022 (S-II),CANARA BANK,100.00,,23-Mar-2007,23-Mar-2022,,,Yearly,23-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE476A09165
BB,CANB24,9.70%,CANARA BK 9.70% 2024 (S-II),CANARA BANK,100.00,,27-Mar-2014,27-Mar-2024,,,Yearly,27-Mar-2018,ACTUALby365,,,,0.0000,,,,,,INE476A09256
BB,CANB24,9.73%,CANARA BANK 9.73% 24S-I,CANARA BANK,100.00,,03-Jan-2014,03-Jan-2024,,,Yearly,03-Jan-2019,ACTUALby365,,,,0.0000,,,,,,INE476A09249
BB,CANB25,8.40%,CANARA BANK 8.40% 2025 SR 1,CANARA BANK,100.00,,31-Dec-2015,31-Dec-2025,,,Yearly,31-Dec-2018,ACTUALby365,,,,0.0000,,,,,,INE476A09264
BB,CANB25,RESET,CANARA BANK RST 2025 (S-III),CANARA BANK,100.00,,29-Sep-2010,29-Sep-2025,,,Yearly,29-Sep-2018,ACTUALby365,,,,0.0000,,,,,,INE476A09231
BB,CANB26,8.40%,CANARA BK 8.40% 26 TR2 SR II,CANARA BANK,100.00,,07-Jan-2016,07-Jan-2026,,,Yearly,07-Jan-2019,ACTUALby365,,,,0.0000,,,,,,INE476A08043
