Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
15-Dec-2017,INE141A08050 ,102.5300,2000.00,4020.00,10.0655,102.4010,10.1077
15-Dec-2017,INE115A07LP0 ,100.0866,2500.00,40000.00,7.4700,100.0866,7.4700
15-Dec-2017,INE134E08HB9 ,100.9072,1500.00,1500.00,6.5000,100.9072,6.5000
15-Dec-2017,INE114A07901 ,100.3102,1000.00,1000.00,7.3500,100.3102,7.3500
15-Dec-2017,INE941D07158 ,98.5229,1500.00,3500.00,8.1800,98.5229,8.1800
15-Dec-2017,INE153A08071 ,103.3414,1000.00,1000.00,7.7998,103.3414,7.7998
15-Dec-2017,INE002A08476 ,98.0084,2500.00,6000.00,7.5000,97.9714,7.5095
15-Dec-2017,INE445L08185 ,100.6970,1400.00,1400.00,6.6000,100.6970,6.6000
15-Dec-2017,INE296A07HA8 ,124.6203,1000.00,1000.00,7.1000,124.6203,7.1000
15-Dec-2017,INE866I07594 ,103.5196,2370.00,2370.00,7.6000,103.5196,7.6000
15-Dec-2017,INE001A07PS7 ,99.9217,5000.00,5000.00,7.5000,99.9217,7.5000
15-Dec-2017,INE134E08JC3 ,97.4197,500.00,12000.00,7.8200,100.0116,7.8200
15-Dec-2017,INE261F08600 ,100.6669,17500.00,17500.00,7.2700,100.6669,7.2700
15-Dec-2017,INE153A08048 ,102.9096,1000.00,1000.00,7.8300,102.9096,7.8300
15-Dec-2017,INE540P08036 ,100.3545,20000.00,20000.00,9.8600,100.3545,9.8600
15-Dec-2017,INE861G08035 ,108.3566,50.00,2050.00,7.5400,108.6786,7.4522
15-Dec-2017,INE112A08044 ,100.2937,500.00,2530.00,7.9700,100.0924,7.9992
15-Dec-2017,INE916DA7NU5 ,99.8188,500.00,1000.00,7.8500,99.8188,7.8500
15-Dec-2017,INE110L08037 ,105.1567,2500.00,2500.00,8.1703,105.1567,8.1703
15-Dec-2017,INE134E08JF6 ,99.1300,300.00,300.00,7.5600,99.1300,7.5600
15-Dec-2017,INE752E07NJ1 ,102.2655,500.00,1000.00,7.4500,102.2655,7.4500
15-Dec-2017,INE721A07MW9 ,98.8890,1000.00,1500.00,8.0700,98.8890,8.0700
15-Dec-2017,INE001A07LJ5 ,100.3127,3500.00,3500.00,7.3600,100.3127,7.3600
15-Dec-2017,INE053F07AA7 ,97.9800,10.00,100.00,7.7913,97.9800,7.7913
15-Dec-2017,INE020B08AQ9 ,99.6267,1000.00,9000.00,7.7500,99.8202,7.7231
15-Dec-2017,INE261F08790 ,100.0005,5000.00,15000.00,6.6500,100.0005,6.6500
15-Dec-2017,INE115A07LX4 ,99.7618,500.00,500.00,7.7200,99.7618,7.7200
15-Dec-2017,INE866I07BF3 ,100.3127,3500.00,3500.00,7.3600,100.3127,7.3600
15-Dec-2017,INE756I07696 ,100.6092,2000.00,4000.00,7.6600,100.6051,7.6650
15-Dec-2017,INE774D08MK5 ,98.3000,40.00,240.00,8.2500,98.3833,8.2333
15-Dec-2017,INE261F08907 ,98.8848,1500.00,5500.00,7.4200,98.8836,7.4200
15-Dec-2017,INE945S07165 ,103.3500,60.00,60.00,8.6868,103.3500,8.6868
15-Dec-2017,INE860H08DZ0 ,101.7100,20.00,20.00,8.4100,101.7100,8.4100
15-Dec-2017,INE001A07PO6 ,100.1267,12000.00,12000.00,6.6498,100.1267,6.6498
15-Dec-2017,INE053F07AB5 ,96.7800,640.00,640.00,7.8102,96.7800,7.8102
15-Dec-2017,INE950O08147 ,99.8500,60.00,100.00,8.5000,99.8620,8.5000
15-Dec-2017,INE906B07CB9 ,118.8591,3250.00,6500.00,5.6000,118.8591,5.5950
15-Dec-2017,INE020B07GH7 ,117.8265,2500.00,5000.00,5.6000,117.8265,5.5950
15-Dec-2017,INE887F08040 ,98.9000,700.00,710.00,10.2347,98.9415,10.2249
15-Dec-2017,INE148I07GP4 ,100.2532,12500.00,12500.00,6.8500,100.2532,6.8500
15-Dec-2017,INE148I07FK7 ,100.3718,12500.00,12500.00,6.8500,100.3718,6.8500
15-Dec-2017,INE691I07DL9 ,100.3570,8000.00,8000.00,7.5500,100.3570,7.5500
15-Dec-2017,INE134E08FK4 ,100.4604,25500.00,25500.00,6.5200,100.4604,6.5200
15-Dec-2017,INE860H07979 ,100.3666,6500.00,6500.00,7.1400,100.3666,7.1400
