"","Symbol","Series","Date","Prev.Close","Open.Price","High.Price","Low.Price","Last.Price","Close.Price","Average.Price","Total.Traded.Quantity","Turnover","No..of.Trades","Deliverable.Qty","X..Dly.Qt.to.Traded.Qty"
"1","GOLDBEES","EQ","01-Feb-2013",2879.9,2875,2879.85,2865,2871,2871.95,2874.48,30678,88183218.5,6858,20080,65.45
"2","GOLDBEES","EQ","04-Feb-2013",2871.95,2885,2900,2866.05,2868,2867.45,2873.78,28126,80827882.15,5374,17772,63.19
"3","GOLDBEES","EQ","05-Feb-2013",2867.45,2870.55,2899,2870.55,2889.75,2883.9,2887.36,33460,96611188.6,4828,20454,61.13
"4","GOLDBEES","EQ","06-Feb-2013",2883.9,2881,2883.9,2865,2873,2872.2,2873.6,17666,50765006.15,3573,8076,45.71
"5","GOLDBEES","EQ","07-Feb-2013",2872.2,2880,2889.85,2872,2883.4,2884.35,2885.23,25461,73460737.95,5461,14204,55.79
"6","GOLDBEES","EQ","08-Feb-2013",2884.35,2885,2889.6,2880.4,2883,2882.8,2886.36,18546,53530472.65,2717,10698,57.68
"7","GOLDBEES","EQ","11-Feb-2013",2882.8,2883.55,2891.75,2882,2883.6,2883.75,2886.81,29521,85221512.3,3777,19779,67
"8","GOLDBEES","EQ","12-Feb-2013",2883.75,2869.5,2874.3,2861.05,2869,2867.5,2869.49,17233,49449990.65,3609,9795,56.84
"9","GOLDBEES","EQ","13-Feb-2013",2867.5,2898.95,2898.95,2865.2,2867,2866.9,2869.8,14755,42343938.25,2790,9683,65.63
"10","GOLDBEES","EQ","14-Feb-2013",2866.9,2870,2871.7,2863.4,2868.9,2869.95,2867.31,25046,71814639.35,3418,13760,54.94
"11","GOLDBEES","EQ","15-Feb-2013",2869.95,2865,2867,2852.5,2858.3,2855.7,2860.22,42352,121135949.35,6962,31233,73.75
"12","GOLDBEES","EQ","18-Feb-2013",2855.7,2859.8,2859.8,2811.2,2829.95,2831.6,2835.53,51666,146500735.75,7356,30285,58.62
"13","GOLDBEES","EQ","19-Feb-2013",2831.6,2832,2837,2824,2834,2834.1,2830.58,23418,66286610.95,3555,14619,62.43
"14","GOLDBEES","EQ","20-Feb-2013",2834.1,2827,2827,2815.1,2815.7,2817.2,2819.88,26112,73632796.3,5113,16278,62.34
"15","GOLDBEES","EQ","21-Feb-2013",2817.2,2802.4,2808.8,2755.55,2773.45,2776.4,2765.35,102778,284217299.55,11928,47358,46.08
"16","GOLDBEES","EQ","22-Feb-2013",2776.4,2775,2801,2775,2778.95,2778.6,2787.73,54295,151359875.4,5651,33565,61.82
"17","GOLDBEES","EQ","25-Feb-2013",2778.6,2800,2800,2774.9,2784.95,2782.95,2780.03,41124,114326106.15,3964,29174,70.94
"18","GOLDBEES","EQ","26-Feb-2013",2782.95,2785.05,2799.8,2785.05,2798.85,2796.4,2793.48,38873,108591019.15,3745,22756,58.54
"19","GOLDBEES","EQ","27-Feb-2013",2796.4,2801.55,2819.75,2800.2,2809.9,2804.8,2807.59,42969,120639156.55,5917,24746,57.59
"20","GOLDBEES","EQ","28-Feb-2013",2804.8,2795,2803.6,2780,2795.05,2797.45,2796.3,57387,160471468.3,4422,35815,62.41
"21","GOLDBEES","EQ","01-Mar-2013",2797.45,2794.8,2795,2780.05,2782,2783.4,2786.77,40448,112719307.25,5616,27222,67.3
"22","GOLDBEES","EQ","04-Mar-2013",2783.4,2791.5,2812.9,2791.5,2808.35,2805.8,2803.47,35900,100644638.25,4809,21199,59.05
"23","GOLDBEES","EQ","05-Mar-2013",2805.8,2808.95,2808.95,2793.55,2794.05,2795.85,2797.1,20132,56311183.75,3288,11755,58.39
