"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 04, 2018","993.20","995.90","995.90","990.50","0","-0.27"
"Feb 02, 2018","995.90","1,009.40","1,010.60","990.30","0","-1.36"
"Feb 01, 2018","1,009.60","1,005.20","1,013.40","995.90","0","0.41"
"Jan 31, 2018","1,005.50","1,000.60","1,010.50","999.00","0","0.39"
"Jan 30, 2018","1,001.60","1,009.80","1,012.40","995.20","0","-0.86"
"Jan 29, 2018","1,010.30","1,014.20","1,017.40","1,005.40","0","-0.39"
"Jan 28, 2018","1,014.30","1,016.40","1,016.70","1,013.60","0","0.09"
"Jan 26, 2018","1,013.40","1,016.90","1,026.30","1,012.80","0","-0.30"
"Jan 25, 2018","1,016.40","1,018.70","1,033.30","1,011.30","0","-0.26"
"Jan 24, 2018","1,019.00","1,010.70","1,027.30","1,009.10","0","0.81"
"Jan 23, 2018","1,010.80","1,003.40","1,013.30","993.50","0","0.76"
"Jan 22, 2018","1,003.20","1,019.20","1,023.80","994.80","0","-1.56"
"Jan 21, 2018","1,019.10","1,018.80","1,019.10","1,017.80","0","0.24"
"Jan 19, 2018","1,016.70","1,006.90","1,020.70","1,004.20","0","1.01"
"Jan 18, 2018","1,006.50","1,003.90","1,012.30","1,001.00","0","0.26"
"Jan 17, 2018","1,003.90","1,004.60","1,012.90","1,002.20","0","-0.04"
"Jan 16, 2018","1,004.30","1,002.20","1,005.60","990.00","0","0.21"
"Jan 15, 2018","1,002.20","997.00","1,006.10","991.40","0","0.50"
"Jan 14, 2018","997.20","999.00","1,000.00","997.20","0","-0.15"
"Jan 12, 2018","998.70","988.70","1,003.80","988.30","0","1.03"
"Jan 11, 2018","988.50","976.10","991.00","974.70","0","1.28"
"Jan 10, 2018","976.00","968.70","979.20","962.40","0","0.77"
"Jan 09, 2018","968.50","974.00","975.40","964.40","0","-0.60"
"Jan 08, 2018","974.30","974.00","979.20","971.10","0","0.07"
"Jan 07, 2018","973.60","975.00","975.20","973.40","0","-0.13"
"Jan 05, 2018","974.90","966.10","975.50","963.70","0","0.92"
"Jan 04, 2018","966.00","956.10","971.50","949.10","0","1.04"
"Jan 03, 2018","956.10","950.00","965.90","944.10","0","0.65"
"Jan 02, 2018","949.90","937.30","950.50","935.40","0","1.33"
"Jan 01, 2018","937.40","936.20","939.10","934.50","0","0.30"
"Dec 29, 2017","934.60","931.10","941.80","930.50","0","0.40"
"Dec 28, 2017","930.90","926.30","933.20","925.60","0","0.52"
"Dec 27, 2017","926.10","925.50","931.40","924.40","0","0.06"
"Dec 26, 2017","925.50","921.50","929.30","921.50","0","0.46"
"Dec 25, 2017","921.30","923.00","923.00","920.10","0","-0.19"
"Dec 22, 2017","923.05","919.20","926.45","913.70","0","0.41"
"Dec 21, 2017","919.30","920.50","922.75","914.00","0","-0.10"
"Dec 20, 2017","920.20","914.70","925.00","911.10","0","0.61"
"Dec 19, 2017","914.60","911.60","920.70","907.15","0","0.35"
"Dec 18, 2017","911.40","891.75","915.30","891.50","0","2.20"
"Dec 17, 2017","891.80","892.30","893.20","891.15","0","-0.23"
"Dec 15, 2017","893.90","883.00","893.90","878.90","0","1.25"
"Dec 14, 2017","882.90","887.65","890.45","877.35","0","-0.54"
"Dec 13, 2017","887.70","880.60","888.15","872.65","0","0.80"
"Dec 12, 2017","880.65","888.20","890.95","873.20","0","-0.84"
"Dec 11, 2017","888.15","889.65","893.30","883.85","0","-0.16"
"Dec 10, 2017","889.60","890.20","890.20","888.35","0","0.18"
"Dec 08, 2017","888.00","894.00","899.40","882.30","0","-0.62"
"Dec 07, 2017","893.50","903.60","903.85","891.85","0","-1.11"
"Dec 06, 2017","903.55","917.15","917.90","900.10","0","-1.49"
"Dec 05, 2017","917.25","930.75","931.20","914.85","0","-1.46"
"Dec 04, 2017","930.85","937.70","938.50","924.45","0","-0.75"
"Dec 03, 2017","937.85","938.35","939.05","935.90","0","-0.36"
"Dec 01, 2017","941.20","943.85","946.20","933.40","0","-0.28"
"Nov 30, 2017","943.80","942.75","950.15","941.50","0","0.12"
"Nov 29, 2017","942.70","951.85","955.80","940.55","0","-0.94"
"Nov 28, 2017","951.65","949.25","959.20","948.35","0","0.26"
"Nov 27, 2017","949.20","942.35","952.95","940.25","0","0.74"
"Nov 26, 2017","942.25","944.60","945.00","942.10","0","-0.30"
"Nov 24, 2017","945.05","940.15","945.75","935.85","0","0.82"
"Nov 23, 2017","937.35","939.40","940.75","935.20","0","-0.22"
"Nov 22, 2017","939.45","936.80","943.95","932.55","0","0.28"
"Nov 21, 2017","936.85","929.45","940.45","927.55","0","0.81"
"Nov 20, 2017","929.30","951.15","951.90","921.90","0","-2.31"
"Nov 19, 2017","951.25","953.55","953.80","950.85","0","-0.28"
"Nov 17, 2017","953.95","934.90","957.45","934.90","0","2.03"
"Nov 16, 2017","934.95","933.80","937.30","930.45","0","0.13"
"Nov 15, 2017","933.75","929.20","941.50","928.20","0","0.50"
"Nov 14, 2017","929.15","933.45","935.65","924.00","0","-0.45"
"Nov 13, 2017","933.35","931.70","938.45","931.20","0","0.20"
"Nov 12, 2017","931.45","930.55","931.90","928.55","0","0.03"
"Nov 10, 2017","931.15","940.45","943.70","930.25","0","-0.97"
"Nov 09, 2017","940.25","933.75","941.95","932.25","0","0.69"
"Nov 08, 2017","933.80","927.20","939.15","926.75","0","0.73"
"Nov 07, 2017","927.05","935.15","935.20","922.90","0","-0.86"
"Nov 06, 2017","935.05","924.15","938.40","919.65","0","1.17"
"Nov 05, 2017","924.20","923.00","924.35","922.50","0","0.17"
"Nov 03, 2017","922.65","928.80","929.50","918.10","0","-0.68"
"Nov 02, 2017","929.00","934.85","937.85","926.35","0","-0.62"
"Nov 01, 2017","934.80","921.15","939.40","919.80","0","1.49"
"Oct 31, 2017","921.10","923.45","927.65","916.95","0","-0.27"
"Oct 30, 2017","923.55","918.50","924.05","916.55","0","0.57"
"Oct 29, 2017","918.35","918.55","919.45","917.05","0","-0.01"
"Oct 27, 2017","918.40","919.75","923.95","913.30","0","-0.15"
"Oct 26, 2017","919.80","928.10","930.30","919.10","0","-0.90"
"Oct 25, 2017","928.15","924.55","928.95","914.75","0","0.38"
"Oct 24, 2017","924.65","929.45","932.70","921.50","0","-0.51"
"Oct 23, 2017","929.35","920.60","929.65","916.25","0","0.93"
"Oct 22, 2017","920.75","924.60","925.25","919.80","0","-0.57"
"Oct 20, 2017","926.00","927.35","928.45","921.05","0","-0.15"
"Oct 19, 2017","927.40","924.30","931.45","920.10","0","0.35"
"Oct 18, 2017","924.15","937.05","938.40","922.60","0","-1.38"
"Oct 17, 2017","937.10","935.10","938.25","928.65","0","0.21"
"Oct 16, 2017","935.15","948.55","950.85","930.75","0","-1.41"
"Oct 15, 2017","948.50","947.10","948.60","946.60","0","-0.03"
"Oct 13, 2017","948.80","941.25","949.45","938.85","0","0.80"
"Oct 12, 2017","941.30","937.40","943.10","936.25","0","0.44"
"Oct 11, 2017","937.20","935.90","938.30","930.70","0","0.13"
"Oct 10, 2017","935.95","919.35","937.25","918.80","0","1.80"
"Oct 09, 2017","919.40","918.00","924.95","914.55","0","0.15"
"Oct 08, 2017","918.05","919.15","919.35","917.95","0","-0.10"
"Oct 06, 2017","918.95","917.25","922.15","906.80","0","0.16"
"Oct 05, 2017","917.45","916.75","921.00","912.80","0","0.07"
"Oct 04, 2017","916.80","916.40","925.85","913.00","0","0.05"
"Oct 03, 2017","916.35","916.35","919.40","909.90","0","0.01"
"Oct 02, 2017","916.30","916.25","919.75","912.20","0","-0.01"
"Oct 01, 2017","916.35","914.65","916.70","914.35","0","0.11"
"Sep 29, 2017","915.30","926.50","930.20","914.55","0","-1.21"
"Sep 28, 2017","926.55","924.65","929.25","918.15","0","0.22"
"Sep 27, 2017","924.55","928.35","933.70","921.10","0","-0.42"
"Sep 26, 2017","928.45","944.50","950.00","927.25","0","-1.69"
"Sep 25, 2017","944.45","935.25","945.70","930.40","0","0.99"
"Sep 24, 2017","935.20","937.45","937.95","934.50","0","0.19"
"Sep 22, 2017","933.45","940.30","946.45","931.70","0","-0.72"
"Sep 21, 2017","940.25","941.80","944.60","931.10","0","-0.16"
"Sep 20, 2017","941.75","953.95","959.35","935.85","0","-1.26"
"Sep 19, 2017","953.75","964.45","964.95","947.45","0","-1.10"
"Sep 18, 2017","964.40","967.35","972.10","959.70","0","-0.28"
"Sep 17, 2017","967.10","969.95","970.90","967.00","0","-0.38"
"Sep 15, 2017","970.75","989.90","990.00","966.90","0","-1.93"
"Sep 14, 2017","989.85","982.60","990.30","978.25","0","0.74"
"Sep 13, 2017","982.55","990.15","992.10","979.65","0","-0.76"
"Sep 12, 2017","990.05","992.65","993.95","984.00","0","-0.26"
"Sep 11, 2017","992.60","1,005.35","1,008.45","991.80","0","-1.32"
"Sep 10, 2017","1,005.85","1,006.55","1,006.55","1,001.25","0","-0.49"
"Sep 08, 2017","1,010.85","1,021.85","1,026.30","1,010.40","0","-1.07"
"Sep 07, 2017","1,021.75","1,005.70","1,022.05","1,003.80","0","1.61"
"Sep 06, 2017","1,005.60","1,012.85","1,017.45","1,003.70","0","-0.72"
"Sep 05, 2017","1,012.90","1,009.90","1,015.70","1,002.80","0","0.31"
"Sep 04, 2017","1,009.80","1,016.45","1,017.10","1,009.55","0","-0.68"
"Sep 03, 2017","1,016.75","1,012.35","1,018.00","1,012.35","0","0.54"
"Sep 01, 2017","1,011.25","1,001.55","1,012.40","998.25","0","1.00"
"Aug 31, 2017","1,001.25","993.65","1,003.50","984.35","0","0.75"
"Aug 30, 2017","993.75","997.15","1,003.45","986.75","0","-0.35"
"Aug 29, 2017","997.20","993.25","1,010.40","991.05","0","0.40"
"Aug 28, 2017","993.20","977.95","998.85","976.90","0","1.56"
"Aug 27, 2017","977.90","976.85","980.50","976.85","0","0.06"
"Aug 25, 2017","977.30","982.45","987.20","972.40","0","-0.53"
"Aug 24, 2017","982.50","982.60","985.95","975.45","0","-0.01"
"Aug 23, 2017","982.55","978.20","986.45","976.80","0","0.45"
"Aug 22, 2017","978.15","985.50","985.50","974.05","0","-0.77"
"Aug 21, 2017","985.70","980.40","989.85","979.15","0","0.55"
"Aug 20, 2017","980.30","981.25","981.70","979.70","0","-0.15"
"Aug 18, 2017","981.75","980.05","992.35","978.25","0","0.18"
"Aug 17, 2017","980.00","982.45","985.20","974.55","0","-0.26"
"Aug 16, 2017","982.55","966.25","984.35","964.25","0","1.69"
"Aug 15, 2017","966.20","969.10","969.10","955.00","0","-0.29"
"Aug 14, 2017","969.05","987.05","987.25","968.70","0","-1.82"
"Aug 13, 2017","987.00","989.55","989.55","986.95","0","-0.08"
"Aug 11, 2017","987.80","986.25","995.55","982.50","0","0.15"
"Aug 10, 2017","986.30","978.05","988.55","976.00","0","0.82"
"Aug 09, 2017","978.25","976.00","984.90","974.25","0","0.24"
"Aug 08, 2017","975.90","970.20","982.75","969.55","0","0.59"
"Aug 07, 2017","970.15","966.15","973.95","961.05","0","0.40"
"Aug 06, 2017","966.25","968.95","969.00","966.15","0","-0.17"
"Aug 04, 2017","967.85","966.00","973.85","962.60","0","0.20"
"Aug 03, 2017","965.95","949.45","967.50","948.15","0","1.74"
"Aug 02, 2017","949.40","946.90","954.80","943.05","0","0.26"
