"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 02, 2018","38,651","39,460","39,615","38,475","21.72K","-1.67"
"Feb 01, 2018","39,309","39,386","39,580","39,225","16.80K","-0.03"
"Jan 31, 2018","39,319","39,209","39,382","39,139","10.04K","0.50"
"Jan 30, 2018","39,123","39,096","39,450","39,020","11.80K","-0.05"
"Jan 29, 2018","39,141","39,850","39,850","39,079","12.77K","-2.05"
"Jan 25, 2018","39,960","39,799","40,180","39,660","16.04K","0.64"
"Jan 24, 2018","39,707","38,850","39,775","38,850","19.99K","2.51"
"Jan 23, 2018","38,733","39,043","39,086","38,402","15.80K","-0.63"
"Jan 22, 2018","38,979","38,883","39,145","38,800","9.94K","0.03"
"Jan 19, 2018","38,969","38,900","39,290","38,883","8.73K","0.13"
"Jan 18, 2018","38,917","39,125","39,167","38,859","11.76K","-0.72"
"Jan 17, 2018","39,201","39,420","39,487","39,058","13.89K","-0.56"
"Jan 16, 2018","39,420","39,626","39,693","38,573","17.21K","-0.38"
"Jan 15, 2018","39,570","39,325","39,660","39,325","9.95K","1.30"
"Jan 12, 2018","39,063","39,045","39,219","38,882","13.12K","0.32"
"Jan 11, 2018","38,939","38,992","39,031","38,666","12.10K","-0.14"
"Jan 10, 2018","38,992","38,802","39,300","38,742","17.47K","0.38"
"Jan 09, 2018","38,845","39,099","39,129","38,804","11.35K","-0.51"
"Jan 08, 2018","39,043","39,245","39,245","38,920","11.95K","-0.53"
"Jan 05, 2018","39,253","39,190","39,350","39,030","12.98K","-0.06"
"Jan 04, 2018","39,276","39,110","39,372","38,900","16.86K","-0.06"
"Jan 03, 2018","39,300","39,071","39,340","38,955","13.35K","0.31"
"Jan 02, 2018","39,180","39,175","39,285","38,978","12.75K","0.01"
"Jan 01, 2018","39,176","39,089","39,234","39,070","1.76K","-0.16"
"Dec 29, 2017","39,237","38,768","39,313","38,754","12.99K","0.85"
"Dec 28, 2017","38,906","38,756","38,950","38,515","15.39K","0.60"
"Dec 27, 2017","38,673","38,254","38,738","38,253","13.97K","0.99"
"Dec 26, 2017","38,294","37,980","38,333","37,980","10.79K","0.90"
"Dec 22, 2017","37,954","37,470","38,058","37,450","12.22K","1.13"
"Dec 21, 2017","37,530","37,626","37,676","37,365","10.50K","-0.31"
"Dec 20, 2017","37,646","37,464","37,740","37,408","11.52K","0.68"
"Dec 19, 2017","37,392","37,537","37,624","37,313","11.15K","-0.40"
"Dec 18, 2017","37,541","37,340","37,569","37,276","12.14K","0.90"
"Dec 15, 2017","37,205","37,054","37,368","36,940","12.01K","0.41"
"Dec 14, 2017","37,054","37,299","37,548","36,917","14.54K","0.24"
"Dec 13, 2017","36,967","36,776","37,020","36,701","10.57K","0.65"
"Dec 12, 2017","36,729","36,949","37,034","36,672","14.46K","-0.55"
"Dec 11, 2017","36,933","37,081","37,164","36,880","10.58K","-0.33"
"Dec 08, 2017","37,055","37,000","37,205","36,872","13.48K","0.05"
"Dec 07, 2017","37,036","37,469","37,474","36,992","15.54K","-1.09"
"Dec 06, 2017","37,444","37,701","37,850","37,415","13.58K","1.10"
"Dec 05, 2017","37,037","37,565","37,565","36,939","0.08K","-1.22"
"Dec 04, 2017","37,494","37,615","37,836","37,430","0.15K","-0.23"
"Dec 01, 2017","37,582","37,724","37,970","37,300","3.59K","0.13"
"Nov 30, 2017","37,532","37,521","38,098","37,422","15.92K","-1.10"
"Nov 29, 2017","37,948","38,716","38,748","37,855","14.28K","-1.74"
"Nov 28, 2017","38,619","39,274","39,274","38,555","16.25K","-1.65"
"Nov 27, 2017","39,266","39,426","39,494","39,155","10.92K","0.06"
"Nov 24, 2017","39,241","39,495","39,570","39,162","9.19K","-0.38"
"Nov 23, 2017","39,392","39,541","39,569","39,360","6.09K","-0.45"
"Nov 22, 2017","39,569","39,280","39,617","39,246","10.70K","0.68"
"Nov 21, 2017","39,300","39,299","39,486","39,210","11.57K","0.10"
"Nov 20, 2017","39,261","40,051","40,051","39,200","19.47K","-1.88"
"Nov 17, 2017","40,013","39,700","40,208","39,520","13.39K","0.54"
"Nov 16, 2017","39,799","39,702","39,860","39,583","10.26K","0.22"
"Nov 15, 2017","39,711","39,753","40,080","39,650","15.41K","-0.32"
"Nov 14, 2017","39,838","39,815","39,978","39,530","14.17K","-0.19"
"Nov 13, 2017","39,912","39,551","39,939","39,445","13.15K","1.03"
"Nov 10, 2017","39,507","39,657","39,965","39,319","14.49K","-0.34"
