"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"APOLLOTYRE","EQ","15-Mar-2016","        169.35","        170.00","        172.45","        166.20","        168.30","        168.90","        169.44","    2437775","           413060399.55","      22687","    1017047","         41.72"
"APOLLOTYRE","EQ","16-Mar-2016","        168.90","        170.60","        170.60","        165.50","        168.30","        168.40","        167.20","    1263306","           211222792.00","      11309","     285078","         22.57"
"APOLLOTYRE","EQ","17-Mar-2016","        168.40","        170.50","        171.80","        168.90","        169.90","        170.40","        170.26","    1611633","           274398912.50","      14139","     620181","         38.48"
"APOLLOTYRE","EQ","18-Mar-2016","        170.40","        171.00","        179.40","        168.55","        177.00","        177.25","        174.47","    3737007","           651994001.75","      23455","    1472899","         39.41"
"APOLLOTYRE","EQ","21-Mar-2016","        177.25","        177.00","        180.25","        177.00","        178.50","        178.30","        178.57","    2170256","           387539103.25","      23847","     793687","         36.57"
"APOLLOTYRE","EQ","22-Mar-2016","        178.30","        177.55","        181.50","        176.20","        177.60","        178.60","        178.95","    3587364","           641975503.95","      28262","    1784702","         49.75"
"APOLLOTYRE","EQ","23-Mar-2016","        178.60","        178.40","        178.65","        173.05","        174.35","        175.20","        175.14","    2239435","           392221772.40","      23300","     702615","         31.37"
"APOLLOTYRE","EQ","28-Mar-2016","        175.20","        173.05","        176.25","        170.25","        172.30","        172.00","        173.22","    1666204","           288613451.55","      12778","     407205","         24.44"
"APOLLOTYRE","EQ","29-Mar-2016","        172.00","        171.90","        174.35","        169.05","        171.85","        170.25","        171.48","    2093617","           359020378.60","      11790","     885788","         42.31"
"APOLLOTYRE","EQ","30-Mar-2016","        170.25","        171.45","        173.90","        169.95","        172.45","        172.90","        172.39","    2662792","           459034823.85","      25020","    1317597","         49.48"
"APOLLOTYRE","EQ","31-Mar-2016","        172.90","        173.00","        178.00","        171.60","        176.10","        174.90","        174.65","    4069107","           710681185.80","      29074","    2485395","         61.08"
