"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BATAINDIA","EQ","15-Mar-2016","        499.00","        499.00","        499.00","        486.00","        488.10","        489.65","        491.64","     328433","           161469220.65","      12806","      42142","         12.83"
"BATAINDIA","EQ","16-Mar-2016","        489.65","        489.00","        492.00","        479.50","        491.45","        489.20","        485.40","     174951","            84920996.90","       5096","      35611","         20.35"
"BATAINDIA","EQ","17-Mar-2016","        489.20","        493.65","        495.35","        481.40","        483.05","        485.70","        489.73","     243159","           119083269.25","       6768","      88215","         36.28"
"BATAINDIA","EQ","18-Mar-2016","        485.70","        485.90","        491.20","        480.50","        489.90","        489.10","        487.09","     144815","            70537901.05","       6406","      52599","         36.32"
"BATAINDIA","EQ","21-Mar-2016","        489.10","        491.95","        501.90","        487.00","        496.30","        498.95","        496.01","     199241","            98825748.35","       6114","      65168","         32.71"
"BATAINDIA","EQ","22-Mar-2016","        498.95","        497.50","        507.00","        492.75","        502.30","        504.35","        502.64","     337519","           169652159.00","      10175","      88164","         26.12"
"BATAINDIA","EQ","23-Mar-2016","        504.35","        502.15","        515.00","        502.15","        506.90","        508.55","        511.30","     432287","           221027381.05","      11090","     126050","         29.16"
"BATAINDIA","EQ","28-Mar-2016","        508.55","        511.65","        511.65","        494.60","        499.85","        496.20","        503.51","     255427","           128609842.10","       5911","     109491","         42.87"
"BATAINDIA","EQ","29-Mar-2016","        496.20","        499.50","        506.00","        496.55","        503.35","        502.20","        501.11","     316768","           158736559.45","       6462","     144840","         45.72"
"BATAINDIA","EQ","30-Mar-2016","        502.20","        509.95","        515.00","        502.25","        503.10","        504.35","        506.07","     320467","           162178051.65","       9315","     145941","         45.54"
"BATAINDIA","EQ","31-Mar-2016","        504.35","        509.50","        512.00","        498.05","        510.00","        508.60","        504.89","     464285","           234413357.30","      14171","     259926","         55.98"
"BATAINDIA","EQ","01-Apr-2016","        508.60","        507.50","        515.00","        502.40","        502.40","        504.55","        508.11","     495448","           251740807.30","      14634","     293507","         59.24"
"BATAINDIA","EQ","04-Apr-2016","        504.55","        507.70","        524.85","        503.10","        523.00","        522.70","        516.56","    1325203","           684549464.80","      27770","     580430","         43.80"
"BATAINDIA","EQ","05-Apr-2016","        522.70","        524.80","        531.80","        505.50","        509.00","        511.35","        523.61","    1057013","           553465261.45","      25002","     215370","         20.38"
"BATAINDIA","EQ","06-Apr-2016","        511.35","        514.35","        520.60","        512.10","        514.70","        514.35","        515.81","     336153","           173392265.30","       8096","      71243","         21.19"
"BATAINDIA","EQ","07-Apr-2016","        514.35","        517.70","        525.00","        509.25","        522.50","        523.05","        519.74","     606256","           315092982.90","      13863","     260858","         43.03"
"BATAINDIA","EQ","08-Apr-2016","        523.05","        522.00","        531.75","        518.75","        530.10","        528.50","        526.69","     392955","           206966373.25","       7669","     158893","         40.44"
"BATAINDIA","EQ","11-Apr-2016","        528.50","        532.65","        538.80","        531.30","        534.00","        535.25","        535.94","     563478","           301988232.95","      19457","     262890","         46.65"
"BATAINDIA","EQ","12-Apr-2016","        535.25","        534.70","        539.50","        530.40","        533.10","        534.85","        536.44","     582467","           312458959.15","      13500","     343808","         59.03"
"BATAINDIA","EQ","13-Apr-2016","        534.85","        535.50","        548.00","        535.50","        545.00","        545.00","        543.47","     487790","           265098720.05","      12520","     255031","         52.28"
"BATAINDIA","EQ","18-Apr-2016","        545.00","        546.70","        554.90","        541.20","        552.05","        553.40","        549.83","     303943","           167115937.70","       9241","      92378","         30.39"
"BATAINDIA","EQ","20-Apr-2016","        553.40","        554.85","        560.95","        554.55","        556.50","        556.70","        557.40","     209276","           116650642.80","       5709","      68196","         32.59"
"BATAINDIA","EQ","21-Apr-2016","        556.70","        557.40","        561.40","        543.40","        543.50","        546.15","        550.40","     189370","           104230103.00","       5443","      38656","         20.41"
"BATAINDIA","EQ","22-Apr-2016","        546.15","        543.40","        564.50","        538.85","        560.60","        559.90","        551.28","     307410","           169470165.80","       7604","     117631","         38.27"
"BATAINDIA","EQ","25-Apr-2016","        559.90","        560.60","        564.90","        551.10","        560.95","        559.05","        556.32","     292361","           162646422.05","      16332","     181222","         61.99"
"BATAINDIA","EQ","26-Apr-2016","        559.05","        559.40","        569.00","        557.55","        565.65","        565.60","        564.63","     342836","           193573846.50","      10212","      94264","         27.50"
"BATAINDIA","EQ","27-Apr-2016","        565.60","        565.00","        572.95","        560.00","        567.45","        564.40","        565.56","     322492","           182387408.75","      11788","      96948","         30.06"
"BATAINDIA","EQ","28-Apr-2016","        564.40","        563.00","        569.80","        549.25","        558.50","        556.25","        560.53","     347197","           194615669.10","      13952","     147952","         42.61"
"BATAINDIA","EQ","29-Apr-2016","        556.25","        556.00","        597.50","        550.10","        591.55","        584.20","        576.69","     597393","           344510614.15","      13170","     313642","         52.50"
"BATAINDIA","EQ","02-May-2016","        584.20","        586.00","        595.90","        576.00","        580.10","        578.95","        585.22","     422106","           247025089.05","      15685","     134820","         31.94"
"BATAINDIA","EQ","03-May-2016","        578.95","        580.05","        584.00","        564.40","        565.80","        566.80","        574.95","     300971","           173044459.80","      15543","     115841","         38.49"
"BATAINDIA","EQ","04-May-2016","        566.80","        566.85","        572.30","        559.00","        563.00","        562.10","        566.17","     311400","           176306717.55","      11870","     112793","         36.22"
"BATAINDIA","EQ","05-May-2016","        562.10","        565.20","        580.00","        565.00","        573.00","        572.65","        573.62","     346232","           198606835.05","      10879","      55232","         15.95"
"BATAINDIA","EQ","06-May-2016","        572.65","        573.95","        587.90","        571.30","        574.10","        573.65","        580.22","     558152","           323852421.25","      12222","     123101","         22.06"
"BATAINDIA","EQ","09-May-2016","        573.65","        577.50","        602.20","        575.00","        597.10","        596.65","        595.11","     833551","           496053439.90","      23616","     305861","         36.69"
"BATAINDIA","EQ","10-May-2016","        596.65","        596.00","        599.20","        575.00","        576.10","        577.45","        582.99","     697270","           406502767.85","      23191","     408470","         58.58"
"BATAINDIA","EQ","11-May-2016","        577.45","        573.75","        583.90","        568.20","        574.55","        574.90","        578.85","     368078","           213061996.95","      14057","     122046","         33.16"
"BATAINDIA","EQ","12-May-2016","        574.90","        578.00","        579.55","        570.55","        572.50","        572.00","        574.10","     262309","           150591688.40","       8759","      83161","         31.70"
"BATAINDIA","EQ","13-May-2016","        572.00","        570.00","        580.80","        565.50","        572.00","        573.20","        572.98","     268149","           153645028.00","       9705","      43661","         16.28"
"BATAINDIA","EQ","16-May-2016","        573.20","        576.00","        586.90","        568.70","        585.95","        585.25","        581.54","     426140","           247819343.10","       9567","      88326","         20.73"
"BATAINDIA","EQ","17-May-2016","        585.25","        592.25","        598.45","        586.10","        587.90","        588.60","        593.28","     767420","           455291389.25","      17967","     165796","         21.60"
"BATAINDIA","EQ","18-May-2016","        588.60","        587.00","        595.00","        580.45","        586.80","        587.75","        588.48","     289565","           170403020.30","      16069","      56192","         19.41"
"BATAINDIA","EQ","19-May-2016","        587.75","        586.00","        593.05","        566.65","        570.00","        569.95","        583.93","     447088","           261070113.65","      18262","      62679","         14.02"
"BATAINDIA","EQ","20-May-2016","        569.95","        572.55","        575.10","        562.30","        564.00","        565.00","        567.35","     308922","           175266962.30","      10625","     101760","         32.94"
"BATAINDIA","EQ","23-May-2016","        565.00","        567.95","        568.00","        553.00","        554.95","        554.45","        557.20","     420072","           234063600.30","      14396","     129047","         30.72"
"BATAINDIA","EQ","24-May-2016","        554.45","        554.90","        560.35","        546.30","        556.95","        556.50","        552.15","     221268","           122172275.15","       7034","      58117","         26.27"
"BATAINDIA","EQ","25-May-2016","        556.50","        559.30","        568.40","        555.05","        556.95","        556.90","        562.95","     442314","           249002698.15","      10438","     158540","         35.84"
"BATAINDIA","EQ","26-May-2016","        556.90","        558.90","        558.90","        535.50","        542.20","        544.05","        545.12","     528139","           287898346.90","      11907","     232517","         44.03"
"BATAINDIA","EQ","27-May-2016","        544.05","        544.00","        559.95","        530.05","        558.90","        557.30","        547.17","    1359590","           743930608.60","      20280","     738838","         54.34"
"BATAINDIA","EQ","30-May-2016","        557.30","        558.65","        571.30","        557.50","        571.00","        569.60","        567.64","     715634","           406224506.05","      17138","     246287","         34.42"
"BATAINDIA","EQ","31-May-2016","        569.60","        566.00","        576.95","        559.05","        572.95","        572.40","        567.52","     823912","           467583538.25","      19163","     272704","         33.10"
"BATAINDIA","EQ","01-Jun-2016","        572.40","        574.00","        580.50","        566.00","        566.05","        569.95","        574.42","     293462","           168570081.85","       7464","      77175","         26.30"
"BATAINDIA","EQ","02-Jun-2016","        569.95","        568.00","        573.60","        564.35","        568.50","        568.05","        567.68","     147007","            83453211.80","       5010","      27904","         18.98"
"BATAINDIA","EQ","03-Jun-2016","        568.05","        569.00","        574.00","        556.70","        558.00","        558.80","        565.17","     374537","           211678434.35","      14792","     108194","         28.89"
"BATAINDIA","EQ","06-Jun-2016","        558.80","        558.80","        563.95","        553.40","        557.00","        558.85","        558.08","     272975","           152342938.05","       9825","      66376","         24.32"
"BATAINDIA","EQ","07-Jun-2016","        558.85","        558.00","        559.90","        549.10","        552.55","        552.20","        555.38","     205529","           114147288.80","      12679","      73487","         35.76"
"BATAINDIA","EQ","08-Jun-2016","        552.20","        555.00","        563.90","        551.70","        560.00","        560.45","        558.88","     267131","           149293951.85","      10373","      77526","         29.02"
"BATAINDIA","EQ","09-Jun-2016","        560.45","        560.00","        562.90","        553.00","        554.50","        555.95","        558.12","     141558","            79006234.60","       4879","      37825","         26.72"
"BATAINDIA","EQ","10-Jun-2016","        555.95","        556.00","        560.50","        546.90","        548.30","        549.40","        553.71","     273131","           151235034.45","       9130","     110735","         40.54"
"BATAINDIA","EQ","13-Jun-2016","        549.40","        546.10","        548.15","        538.00","        539.90","        539.75","        542.66","     289177","           156925824.30","       6945","     161871","         55.98"
"BATAINDIA","EQ","14-Jun-2016","        539.75","        543.20","        546.30","        536.60","        540.50","        541.20","        541.79","     193659","           104922016.35","       7025","      45656","         23.58"
"BATAINDIA","EQ","15-Jun-2016","        541.20","        543.90","        551.00","        540.00","        543.00","        542.95","        543.40","     198500","           107865531.75","       8001","      92192","         46.44"
"BATAINDIA","EQ","16-Jun-2016","        542.95","        543.00","        544.10","        533.35","        535.85","        535.40","        537.16","     172142","            92467972.80","       6582","      71039","         41.27"
"BATAINDIA","EQ","17-Jun-2016","        535.40","        539.90","        539.90","        525.10","        526.00","        528.75","        531.83","     370230","           196900844.60","      10803","     173757","         46.93"
"BATAINDIA","EQ","20-Jun-2016","        528.75","        525.00","        536.25","        522.95","        535.00","        534.95","        530.70","     186632","            99044807.75","       5667","      53648","         28.75"
"BATAINDIA","EQ","21-Jun-2016","        534.95","        537.75","        539.90","        531.15","        536.70","        536.80","        535.56","     176851","            94714383.65","       5225","      62847","         35.54"
"BATAINDIA","EQ","22-Jun-2016","        536.80","        535.65","        538.80","        527.20","        529.55","        529.75","        533.02","     343979","           183346698.35","       7209","     190268","         55.31"
"BATAINDIA","EQ","23-Jun-2016","        529.75","        531.00","        535.00","        522.05","        523.55","        523.65","        525.17","     329283","           172929679.00","      13048","     182789","         55.51"
"BATAINDIA","EQ","24-Jun-2016","        523.65","        517.00","        524.00","        502.45","        523.90","        522.35","        512.81","     288456","           147921952.10","      11746","      86073","         29.84"
"BATAINDIA","EQ","27-Jun-2016","        522.35","        517.05","        527.30","        517.05","        522.50","        524.15","        523.96","     128718","            67442744.00","       6094","      48957","         38.03"
"BATAINDIA","EQ","28-Jun-2016","        524.15","        526.90","        543.50","        522.30","        541.30","        540.25","        537.65","     533890","           287046437.95","      16105","     116392","         21.80"
"BATAINDIA","EQ","29-Jun-2016","        540.25","        543.00","        553.90","        541.10","        551.75","        552.10","        547.98","     453945","           248753334.75","      17231","     181019","         39.88"
"BATAINDIA","EQ","30-Jun-2016","        552.10","        555.00","        556.05","        543.00","        545.00","        545.85","        548.95","     499929","           274435021.50","      13398","     242238","         48.45"
"BATAINDIA","EQ","01-Jul-2016","        545.85","        546.10","        555.00","        546.10","        548.10","        549.35","        551.53","     191775","           105769481.05","       4621","      35993","         18.77"
"BATAINDIA","EQ","04-Jul-2016","        549.35","        550.40","        564.65","        549.35","        562.45","        562.75","        559.08","     307997","           172194642.05","       7863","      97399","         31.62"
"BATAINDIA","EQ","05-Jul-2016","        562.75","        562.95","        566.55","        557.05","        558.00","        560.40","        562.81","     188930","           106331703.90","       5280","      69969","         37.03"
"BATAINDIA","EQ","07-Jul-2016","        560.40","        560.50","        565.50","        550.35","        551.00","        552.05","        558.95","     214068","           119653811.20","       5775","      61190","         28.58"
"BATAINDIA","EQ","08-Jul-2016","        552.05","        550.95","        554.70","        542.00","        545.50","        546.80","        548.86","     145457","            79835015.25","       5615","      52796","         36.30"
"BATAINDIA","EQ","11-Jul-2016","        546.80","        551.00","        558.35","        550.00","        557.25","        557.65","        554.49","     565997","           313837346.40","      15617","     421019","         74.39"
"BATAINDIA","EQ","12-Jul-2016","        557.65","        557.90","        571.20","        554.35","        570.90","        568.85","        562.50","     648440","           364747796.40","      21421","     333332","         51.41"
"BATAINDIA","EQ","13-Jul-2016","        568.85","        579.80","        586.90","        562.00","        565.35","        565.50","        578.54","    1361117","           787466079.95","      25278","     393873","         28.94"
"BATAINDIA","EQ","14-Jul-2016","        565.50","        564.00","        571.00","        561.80","        570.00","        569.90","        567.98","     327576","           186055199.55","       6545","     163810","         50.01"
"BATAINDIA","EQ","15-Jul-2016","        569.90","        566.40","        574.70","        561.30","        562.00","        564.10","        568.61","     239153","           135985313.95","       8472","      85137","         35.60"
"BATAINDIA","EQ","18-Jul-2016","        564.10","        564.50","        569.00","        557.05","        560.00","        559.50","        564.24","     219714","           123971719.80","       9939","      91814","         41.79"
"BATAINDIA","EQ","19-Jul-2016","        559.50","        558.90","        570.00","        552.45","        568.10","        568.00","        562.07","     345131","           193988074.05","      13234","     146284","         42.39"
"BATAINDIA","EQ","20-Jul-2016","        568.00","        568.70","        577.20","        568.10","        570.00","        569.55","        572.06","     513441","           293720887.45","      11257","     278323","         54.21"
"BATAINDIA","EQ","21-Jul-2016","        569.55","        573.00","        574.00","        562.00","        566.75","        565.15","        569.00","     255967","           145644408.10","       6341","     145838","         56.98"
"BATAINDIA","EQ","22-Jul-2016","        565.15","        565.15","        574.90","        560.00","        568.80","        568.80","        570.17","     282461","           161051857.10","       6598","     132441","         46.89"
"BATAINDIA","EQ","25-Jul-2016","        568.80","        569.50","        581.20","        567.35","        574.25","        575.80","        577.03","     438715","           253152045.00","      13179","     219186","         49.96"
"BATAINDIA","EQ","26-Jul-2016","        575.80","        574.00","        580.95","        567.00","        570.00","        569.90","        576.13","     398268","           229453009.20","       9317","     221247","         55.55"
"BATAINDIA","EQ","27-Jul-2016","        569.90","        570.80","        579.55","        568.55","        570.80","        571.00","        574.17","     317170","           182108920.35","      10051","     153330","         48.34"
"BATAINDIA","EQ","28-Jul-2016","        571.00","        571.70","        580.80","        571.15","        579.00","        578.60","        577.90","     612851","           354165384.55","      10810","     302724","         49.40"
"BATAINDIA","EQ","29-Jul-2016","        578.60","        584.95","        608.75","        583.10","        607.95","        605.45","        597.42","    1162567","           694539771.95","      21367","     455675","         39.20"
"BATAINDIA","EQ","01-Aug-2016","        605.45","        612.00","        613.65","        592.15","        598.05","        598.00","        604.41","    1002237","           605765956.55","      24435","     447239","         44.62"
"BATAINDIA","EQ","02-Aug-2016","        598.00","        598.05","        605.65","        572.40","        572.60","        577.35","        589.00","    1175498","           692368790.85","      20834","     563981","         47.98"
