"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDIGO","EQ","15-Mar-2016","        804.65","        804.00","        816.90","        795.10","        800.00","        800.10","        804.91","     682452","           549311390.70","      21819","     212673","         31.16"
"INDIGO","EQ","16-Mar-2016","        800.10","        801.00","        807.90","        797.00","        799.50","        801.85","        801.12","     500720","           401137799.70","      24572","     176337","         35.22"
"INDIGO","EQ","17-Mar-2016","        801.85","        810.00","        817.00","        803.00","        805.80","        806.90","        808.24","     548774","           443542718.45","      26719","     237965","         43.36"
"INDIGO","EQ","18-Mar-2016","        806.90","        805.00","        812.50","        792.00","        812.20","        808.80","        801.51","     661700","           530361499.00","      28852","     331030","         50.03"
"INDIGO","EQ","21-Mar-2016","        808.80","        813.75","        860.00","        813.00","        852.20","        848.95","        843.33","    1511048","          1274310671.50","      71126","     592172","         39.19"
"INDIGO","EQ","22-Mar-2016","        848.95","        845.00","        856.55","        836.70","        839.50","        843.65","        846.44","     524063","           443586833.60","      20023","     239285","         45.66"
"INDIGO","EQ","23-Mar-2016","        843.65","        842.60","        922.65","        838.00","        894.00","        898.50","        895.84","    2741028","          2455519098.90","      83031","     558803","         20.39"
"INDIGO","EQ","28-Mar-2016","        898.50","        890.00","        927.85","        874.00","        875.20","        880.60","        905.59","    1924647","          1742938156.40","      53712","     614244","         31.91"
"INDIGO","EQ","29-Mar-2016","        880.60","        878.00","        906.90","        870.00","        893.00","        889.80","        893.54","     799558","           714437937.45","      26332","     173377","         21.68"
"INDIGO","EQ","30-Mar-2016","        889.80","        897.00","        906.80","        885.00","        890.70","        891.00","        894.97","     438894","           392796688.00","      14992","     123767","         28.20"
"INDIGO","EQ","31-Mar-2016","        891.00","        891.00","        900.50","        870.10","        871.00","        873.20","        881.57","     503834","           444166904.60","      17542","     215657","         42.80"
"INDIGO","EQ","01-Apr-2016","        873.20","        873.00","        912.00","        862.00","        910.00","        908.55","        898.85","    1133534","          1018882437.15","      40017","     252980","         22.32"
"INDIGO","EQ","04-Apr-2016","        908.55","        918.60","        974.00","        906.85","        968.05","        967.05","        947.75","    2042054","          1935349732.50","      47078","     444018","         21.74"
"INDIGO","EQ","05-Apr-2016","        967.05","        963.90","        986.65","        952.65","        968.40","        973.45","        971.56","    2433073","          2363879489.95","      70324","     788493","         32.41"
"INDIGO","EQ","06-Apr-2016","        973.45","        978.70","        998.75","        969.00","        992.50","        993.55","        985.57","    1402312","          1382077388.65","      40670","     357678","         25.51"
"INDIGO","EQ","07-Apr-2016","        993.55","        992.00","       1015.95","        978.40","        991.60","        990.75","        996.74","    1267425","          1263291065.15","      40299","     288258","         22.74"
"INDIGO","EQ","08-Apr-2016","        990.75","        989.95","       1007.50","        951.00","        954.05","        954.30","        979.55","    1145554","          1122132394.05","      33514","     393081","         34.31"
"INDIGO","EQ","11-Apr-2016","        954.30","        961.00","        994.00","        956.55","        992.00","        985.70","        977.15","     783292","           765396628.30","      20041","     181147","         23.13"
"INDIGO","EQ","12-Apr-2016","        985.70","        991.00","       1021.50","        989.05","       1003.95","       1004.05","       1006.78","     940548","           946921144.90","      27944","     294984","         31.36"
"INDIGO","EQ","13-Apr-2016","       1004.05","       1005.00","       1037.75","       1002.25","       1027.00","       1030.90","       1021.62","    1165031","          1190214156.90","      37926","     353941","         30.38"
"INDIGO","EQ","18-Apr-2016","       1030.90","       1041.70","       1063.00","       1036.95","       1060.50","       1053.55","       1049.09","     622498","           653059482.25","      17488","     186479","         29.96"
"INDIGO","EQ","20-Apr-2016","       1053.55","       1058.80","       1064.00","       1015.00","       1017.00","       1019.25","       1032.22","     808311","           834356594.30","      27960","     370599","         45.85"
"INDIGO","EQ","21-Apr-2016","       1019.25","       1023.00","       1033.00","        995.00","        999.25","       1001.05","       1007.91","     700396","           705935554.70","      21578","     256331","         36.60"
"INDIGO","EQ","22-Apr-2016","       1001.05","       1002.90","       1017.00","        995.15","        997.30","       1001.45","       1006.60","     470384","           473487391.05","      15524","     151778","         32.27"
"INDIGO","EQ","25-Apr-2016","       1001.45","       1002.00","       1022.50","       1002.00","       1018.10","       1015.00","       1013.40","     492061","           498654578.85","      14517","     129061","         26.23"
"INDIGO","EQ","26-Apr-2016","       1015.00","       1021.80","       1034.45","       1015.55","       1030.05","       1030.00","       1026.23","     542855","           557091927.75","      14753","     144264","         26.58"
"INDIGO","EQ","27-Apr-2016","       1030.00","       1033.00","       1054.40","       1023.00","       1048.00","       1047.70","       1040.43","     677301","           704682697.90","      21681","     215862","         31.87"
"INDIGO","EQ","28-Apr-2016","       1047.70","       1051.00","       1069.00","       1051.00","       1068.00","       1063.90","       1060.78","     793589","           841825175.05","      21676","     313288","         39.48"
"INDIGO","EQ","29-Apr-2016","       1063.90","       1074.00","       1080.00","       1041.70","       1068.00","       1075.95","       1067.86","     967499","          1033149583.40","      27393","     306115","         31.64"
"INDIGO","EQ","02-May-2016","       1075.95","       1023.10","       1043.75","       1002.00","       1024.00","       1025.30","       1023.88","    1249412","          1279251320.65","      36228","     320848","         25.68"
"INDIGO","EQ","03-May-2016","       1025.30","       1031.85","       1064.45","       1031.85","       1060.00","       1059.20","       1050.93","     887436","           932636768.15","      25838","     306945","         34.59"
"INDIGO","EQ","04-May-2016","       1059.20","       1054.00","       1072.50","       1041.70","       1071.80","       1067.60","       1060.22","     542612","           575286701.40","      17691","     145070","         26.74"
"INDIGO","EQ","05-May-2016","       1067.60","       1072.80","       1095.00","       1055.10","       1086.00","       1088.40","       1079.32","     616887","           665816872.90","      19314","     158321","         25.66"
"INDIGO","EQ","06-May-2016","       1088.40","       1088.20","       1088.20","       1066.25","       1071.00","       1075.50","       1076.22","     258882","           278613542.15","      10520","      48929","         18.90"
"INDIGO","EQ","09-May-2016","       1075.50","       1073.00","       1084.00","       1046.50","       1072.70","       1077.45","       1068.37","     543566","           580729865.35","      14961","      93126","         17.13"
"INDIGO","EQ","10-May-2016","       1077.45","       1075.70","       1092.00","       1071.30","       1073.00","       1076.10","       1082.85","     576959","           624758455.95","      31550","     273065","         47.33"
"INDIGO","EQ","11-May-2016","       1076.10","       1058.00","       1074.80","       1050.70","       1057.50","       1060.75","       1063.47","     287334","           305570806.75","       8653","      82168","         28.60"
"INDIGO","EQ","12-May-2016","       1060.75","       1065.00","       1065.10","       1040.00","       1043.70","       1045.00","       1050.25","     270503","           284096625.45","       9070","      90715","         33.54"
"INDIGO","EQ","13-May-2016","       1045.00","       1043.00","       1056.30","       1035.10","       1037.15","       1042.60","       1046.56","     275624","           288457025.35","       8307","     102858","         37.32"
