"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LUPIN","EQ","15-Mar-2016","       1869.20","       1799.00","       1799.00","       1716.00","       1725.10","       1722.90","       1755.53","    3200644","          5618828771.65","     120811","    1236187","         38.62"
"LUPIN","EQ","16-Mar-2016","       1722.90","       1732.00","       1753.90","       1696.30","       1745.00","       1750.20","       1728.24","    2061285","          3562403892.50","      93644","     454553","         22.05"
"LUPIN","EQ","17-Mar-2016","       1750.20","       1762.70","       1766.30","       1665.10","       1668.95","       1674.30","       1701.22","    3308895","          5629166898.75","     178879","    1589146","         48.03"
"LUPIN","EQ","18-Mar-2016","       1674.30","       1668.00","       1668.80","       1535.00","       1558.60","       1554.40","       1577.78","    7863541","         12406945156.25","     356675","    3116320","         39.63"
"LUPIN","EQ","21-Mar-2016","       1554.40","       1572.00","       1572.00","       1501.10","       1531.95","       1535.20","       1533.35","    6606156","         10129571189.15","     236443","    3125948","         47.32"
"LUPIN","EQ","22-Mar-2016","       1535.20","       1540.80","       1564.80","       1536.00","       1543.00","       1549.05","       1552.54","    3118852","          4842151711.95","     119540","    1464221","         46.95"
"LUPIN","EQ","23-Mar-2016","       1549.05","       1558.95","       1558.95","       1518.00","       1524.00","       1524.15","       1532.70","    1764210","          2704004783.75","     102395","     704158","         39.91"
"LUPIN","EQ","28-Mar-2016","       1524.15","       1548.00","       1548.00","       1490.00","       1490.50","       1495.10","       1506.73","    3046721","          4590595211.00","     119504","    1493165","         49.01"
"LUPIN","EQ","29-Mar-2016","       1495.10","       1490.00","       1491.95","       1280.00","       1404.95","       1401.55","       1366.24","   18885690","         25802345078.45","     593159","    4623970","         24.48"
"LUPIN","EQ","30-Mar-2016","       1401.55","       1445.00","       1490.00","       1418.75","       1484.00","       1475.30","       1454.35","    6901864","         10037723598.90","     217410","    2140316","         31.01"
"LUPIN","EQ","31-Mar-2016","       1475.30","       1492.00","       1502.45","       1471.00","       1480.50","       1479.25","       1483.21","    3507744","          5202711958.85","      95687","    1666576","         47.51"
"LUPIN","EQ","01-Apr-2016","       1479.25","       1475.90","       1484.00","       1451.25","       1465.50","       1464.85","       1464.15","    2301141","          3369214653.05","      91760","    1165172","         50.63"
"LUPIN","EQ","04-Apr-2016","       1464.85","       1475.00","       1475.00","       1435.00","       1459.35","       1461.15","       1452.21","    1786402","          2594229831.45","      67304","     765576","         42.86"
"LUPIN","EQ","05-Apr-2016","       1461.15","       1465.00","       1478.95","       1446.15","       1462.20","       1463.70","       1465.47","    2776014","          4068173126.35","      61596","    1830315","         65.93"
"LUPIN","EQ","06-Apr-2016","       1463.70","       1466.60","       1493.00","       1464.00","       1484.00","       1485.10","       1478.10","    1248298","          1845113160.10","      49195","     645236","         51.69"
"LUPIN","EQ","07-Apr-2016","       1485.10","       1496.00","       1522.30","       1487.35","       1512.00","       1509.75","       1507.92","    3338512","          5034195397.85","     115254","    1778909","         53.28"
"LUPIN","EQ","08-Apr-2016","       1509.75","       1500.00","       1554.80","       1500.00","       1536.85","       1540.10","       1537.92","    2848397","          4380613976.65","      83654","    1653980","         58.07"
"LUPIN","EQ","11-Apr-2016","       1540.10","       1548.25","       1549.00","       1501.00","       1520.00","       1518.75","       1517.02","     977906","          1483501287.40","      35115","     239897","         24.53"
"LUPIN","EQ","12-Apr-2016","       1518.75","       1523.00","       1544.40","       1523.00","       1534.00","       1535.95","       1536.79","     937807","          1441209186.85","      38939","     505950","         53.95"
"LUPIN","EQ","13-Apr-2016","       1535.95","       1541.05","       1568.70","       1536.85","       1544.00","       1548.90","       1554.56","    1661309","          2582612437.80","      74152","     862633","         51.92"
"LUPIN","EQ","18-Apr-2016","       1548.90","       1543.70","       1598.70","       1543.70","       1575.00","       1575.00","       1569.36","    2312824","          3629644439.45","      94649","    1594922","         68.96"
"LUPIN","EQ","20-Apr-2016","       1575.00","       1589.00","       1590.00","       1555.40","       1575.05","       1572.60","       1571.24","    1762008","          2768540398.40","      81520","    1158979","         65.78"
"LUPIN","EQ","21-Apr-2016","       1572.60","       1580.00","       1580.65","       1552.35","       1557.00","       1561.00","       1566.76","     616382","           965725259.50","      30679","     293778","         47.66"
"LUPIN","EQ","22-Apr-2016","       1561.00","       1550.00","       1569.00","       1540.30","       1555.00","       1558.00","       1557.64","     614108","           956559728.20","      35680","     287453","         46.81"
"LUPIN","EQ","25-Apr-2016","       1558.00","       1556.30","       1557.00","       1535.50","       1540.00","       1542.70","       1542.86","     500655","           772438554.10","      17179","     266798","         53.29"
